order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
1823995,69839,prior,4,0,10,6.0
1127208,88128,prior,4,4,18,11.0
1299643,86454,prior,33,0,23,3.0
3380151,122826,prior,9,5,9,14.0
2575354,137186,prior,1,6,9,
1578561,60236,prior,6,6,14,5.0
101352,874,prior,9,0,16,7.0
612416,43913,prior,17,1,12,29.0
3072652,65079,prior,23,5,11,2.0
2213432,42381,prior,15,1,15,7.0
1723797,13885,prior,2,6,9,26.0
582317,59464,prior,2,2,13,6.0
2783080,36386,prior,1,2,18,
2979001,169288,prior,60,5,10,7.0
2264449,10157,prior,35,2,20,2.0
3181127,127852,prior,32,4,9,3.0
2162193,176462,prior,24,6,20,30.0
1597562,51121,prior,63,4,14,6.0
701991,106103,prior,31,6,11,5.0
1988835,89012,prior,78,2,20,2.0
3092047,88555,prior,2,1,12,14.0
2377256,7431,prior,16,3,13,7.0
2643884,92600,prior,6,4,16,18.0
2300747,57141,prior,4,6,19,8.0
2416106,122379,prior,4,2,9,19.0
683469,89914,prior,29,0,17,30.0
1349416,113299,prior,14,4,11,5.0
1758144,103604,prior,59,4,13,4.0
315866,116612,prior,68,1,10,4.0
278679,163588,train,5,0,10,19.0
1380618,4861,prior,3,0,19,10.0
2078629,88598,prior,7,0,23,30.0
2449286,59182,prior,43,5,10,3.0
825258,186654,prior,34,6,9,4.0
164561,53920,prior,17,3,11,30.0
2854269,123043,prior,2,0,12,5.0
2563523,49802,prior,20,2,14,4.0
1820468,45334,prior,12,4,11,7.0
2257222,193195,prior,6,4,14,5.0
1082060,106074,prior,40,2,13,4.0
933369,48109,prior,2,1,14,14.0
1654460,175253,prior,4,2,14,17.0
563107,10626,prior,45,3,17,5.0
3271819,157853,prior,42,2,18,19.0
2106228,23469,prior,23,5,19,5.0
2906249,166381,prior,28,5,17,10.0
3265855,119015,prior,9,6,10,4.0
2377929,116148,prior,12,1,16,30.0
1261582,20104,prior,10,1,11,3.0
2828872,78363,prior,13,4,14,7.0
3356283,186244,train,24,6,12,30.0
1464954,194326,prior,31,1,10,5.0
2848669,18040,prior,6,3,7,30.0
3276964,33607,prior,1,3,14,
1835007,186935,prior,60,4,9,4.0
122268,59458,prior,6,4,17,10.0
1345309,169256,train,24,0,12,7.0
3204703,24592,prior,23,0,18,9.0
1313622,49406,prior,92,1,13,4.0
2198621,14009,train,5,5,8,30.0
2736397,98526,train,16,3,13,25.0
2598801,11953,prior,2,0,8,8.0
2718958,195841,prior,3,1,10,12.0
497427,99052,prior,1,5,12,
3327085,154479,prior,3,2,13,7.0
720780,107004,prior,6,0,18,30.0
2979378,50732,prior,2,4,16,16.0
20733,57523,prior,21,1,15,7.0
1496080,2449,train,13,1,13,26.0
253880,88824,prior,20,1,16,7.0
1554291,170599,prior,3,1,14,30.0
1051541,154723,prior,1,5,15,
2799289,159704,prior,15,0,15,8.0
1149756,41231,prior,25,2,11,9.0
350749,68025,prior,2,3,7,2.0
3030045,201775,prior,8,4,11,3.0
2104066,56995,prior,59,4,13,1.0
2854311,94572,prior,39,5,10,9.0
1660839,201223,prior,13,6,10,6.0
2657882,99253,prior,4,0,13,7.0
3228043,7152,prior,18,6,8,6.0
2296114,160292,prior,16,4,13,5.0
1652724,38364,prior,20,5,11,7.0
3238251,73783,prior,9,0,11,16.0
560040,53631,prior,6,0,12,28.0
1476468,58821,prior,5,5,19,30.0
3375810,130117,test,4,0,17,30.0
2950543,103825,prior,4,2,17,15.0
2614297,184846,prior,2,1,14,7.0
1711189,126354,prior,6,1,11,7.0
576341,12719,prior,6,4,10,1.0
81668,115065,prior,8,0,12,18.0
593516,48519,prior,16,2,17,10.0
1383842,149765,prior,2,2,7,30.0
2007848,72364,prior,1,1,17,
1404084,57432,prior,7,2,14,14.0
1095540,72360,prior,21,0,14,14.0
3215668,57246,prior,2,1,22,30.0
806355,195115,prior,5,2,17,5.0
2387860,36736,prior,6,3,15,22.0
427261,118672,prior,1,0,10,
221986,126490,train,4,2,18,30.0
2758145,30615,prior,9,2,13,7.0
588507,17019,prior,3,6,11,4.0
3255531,161981,prior,2,6,13,1.0
1092630,73314,prior,12,1,20,7.0
160258,172741,prior,50,5,16,20.0
3204724,9092,prior,7,6,19,30.0
1314315,25867,prior,21,2,11,8.0
3166203,48620,prior,74,5,10,2.0
1434382,4874,prior,11,2,13,30.0
2338497,91087,train,15,4,14,8.0
1190725,187340,prior,36,5,23,6.0
1984795,88835,prior,5,6,11,8.0
3111724,170049,prior,14,0,14,6.0
2294180,195996,prior,7,1,14,30.0
281676,123363,prior,7,1,10,8.0
3263000,82476,prior,1,6,15,
250010,74194,prior,29,1,9,7.0
2872043,192460,prior,19,2,10,9.0
2868189,50531,prior,4,5,9,5.0
530831,47180,prior,1,0,12,
268086,58815,prior,3,3,9,14.0
1901625,191138,prior,5,0,12,15.0
2234518,44406,prior,11,6,14,30.0
1907186,130375,prior,5,0,10,7.0
1671761,100764,prior,28,5,7,5.0
398866,115791,prior,22,1,22,1.0
1303271,194921,prior,2,0,15,13.0
3057214,71654,prior,46,5,19,1.0
2784252,21116,prior,4,6,17,30.0
664970,157006,prior,23,0,13,8.0
2979770,110814,prior,3,4,9,13.0
1122790,135030,prior,7,4,10,25.0
2603630,174204,prior,17,1,11,7.0
2538050,30681,prior,12,1,8,4.0
1373296,190207,prior,21,1,7,2.0
1521120,204376,train,5,5,19,26.0
2861851,104292,prior,3,3,17,30.0
1315686,95525,prior,27,2,12,3.0
2662201,49212,prior,7,1,11,30.0
192644,42113,prior,38,5,10,4.0
2469328,125197,prior,23,5,19,2.0
1727266,39475,prior,31,2,20,18.0
45662,33425,prior,17,5,20,12.0
1418664,122277,prior,21,3,12,4.0
2557794,168046,prior,45,1,13,27.0
755642,135149,prior,1,5,22,
1838904,169090,prior,1,6,12,
1768701,160131,prior,13,0,1,18.0
2335602,199131,prior,22,5,7,30.0
2905919,83055,prior,25,2,12,7.0
771606,154963,prior,3,1,10,6.0
2430697,81054,prior,13,4,7,10.0
269540,24206,prior,28,1,16,4.0
1127288,10626,prior,64,4,9,2.0
961177,48497,prior,7,0,15,7.0
2199680,103950,prior,3,2,10,8.0
598272,32067,prior,34,0,13,10.0
2648440,7015,prior,30,2,21,3.0
1966064,193977,prior,15,1,14,30.0
2981433,86436,prior,15,1,17,5.0
2792881,94259,prior,72,5,15,2.0
3290436,3929,prior,11,0,8,25.0
2796609,160029,prior,2,3,8,15.0
1815843,202602,prior,67,6,11,3.0
3363750,4326,prior,15,4,10,7.0
2692476,91153,prior,48,0,11,11.0
1828761,121955,prior,14,6,18,30.0
481818,188322,prior,5,2,13,26.0
2150462,72912,prior,6,3,9,17.0
2699258,95362,prior,23,2,13,21.0
524137,130014,prior,5,0,8,7.0
1760449,154954,prior,9,4,13,4.0
666984,34741,prior,14,1,20,10.0
2244619,198045,prior,19,4,20,11.0
1817485,65842,prior,48,1,17,7.0
1167304,149461,prior,21,0,21,30.0
465559,167643,prior,13,0,11,4.0
157480,84696,train,11,1,9,30.0
3035904,18072,prior,5,5,12,6.0
407202,35507,prior,3,0,17,0.0
3216984,85386,prior,2,3,17,13.0
1136449,55606,prior,6,5,5,1.0
243850,24560,prior,21,5,13,2.0
894582,47740,prior,2,4,11,30.0
1881954,63959,prior,6,1,18,8.0
2121342,150939,prior,43,0,11,7.0
516204,159359,prior,10,0,23,5.0
1856305,183158,prior,12,2,15,3.0
243468,53566,prior,22,5,7,3.0
919942,168387,prior,42,0,15,2.0
491618,205558,prior,16,3,13,5.0
2012781,16491,prior,13,5,16,3.0
881180,94340,prior,2,1,12,7.0
2942144,177924,prior,1,6,9,
2324308,182076,prior,6,0,13,21.0
232390,111309,prior,4,4,10,15.0
3082949,51251,prior,31,4,15,1.0
260592,65816,prior,6,0,11,17.0
2646942,45050,prior,1,5,15,
898582,154296,prior,9,4,17,5.0
498377,191722,prior,35,3,15,5.0
435433,108432,prior,5,6,14,5.0
2335294,28564,prior,1,3,11,
6424,69733,prior,3,0,11,15.0
1879168,30517,prior,3,5,22,15.0
1667245,79368,prior,2,5,12,30.0
2886772,158515,prior,52,1,0,2.0
904747,158435,prior,2,1,11,6.0
3184591,189756,prior,4,4,22,30.0
1673242,205333,prior,2,1,10,7.0
2431443,935,prior,14,3,9,25.0
3121482,136820,prior,43,1,14,4.0
246621,111707,test,9,0,15,7.0
1585739,68098,prior,24,4,14,20.0
2104720,102886,prior,31,1,14,30.0
1027485,7122,prior,5,0,21,7.0
3289689,175315,prior,27,1,10,21.0
1264245,106066,prior,2,0,19,4.0
3396035,160643,prior,42,4,22,4.0
2586206,142360,prior,12,6,13,4.0
1432964,205241,prior,1,1,16,
1310340,163750,prior,51,3,9,2.0
1934863,30473,prior,12,0,16,10.0
141281,139647,prior,18,3,12,7.0
164926,170542,prior,18,1,9,8.0
591149,147671,prior,23,0,13,1.0
1168791,159834,prior,13,1,15,1.0
2227282,163758,prior,15,6,14,3.0
1606133,116859,prior,47,1,12,14.0
2285818,60661,prior,1,2,21,
1060123,71757,prior,5,4,18,15.0
2108928,134546,prior,1,0,9,
2390250,74686,prior,11,2,21,8.0
2956261,143756,test,7,2,14,12.0
2105982,56584,prior,6,6,22,7.0
2751723,56592,train,19,2,18,15.0
921906,143393,prior,7,5,13,11.0
273248,82133,prior,6,5,18,9.0
1354167,98498,prior,17,5,20,1.0
394447,1031,prior,2,4,15,30.0
1860737,158780,prior,10,3,10,4.0
383899,37045,prior,24,0,12,13.0
771857,52759,prior,8,4,10,11.0
969225,25318,prior,32,1,11,7.0
2864254,133039,prior,10,0,20,30.0
1901932,152409,prior,8,3,7,14.0
1478203,29875,prior,5,4,15,9.0
755777,126653,prior,28,4,9,2.0
1754096,18154,prior,7,1,12,30.0
2273745,64339,train,7,6,16,30.0
2644167,196305,prior,5,0,22,3.0
3237913,8588,prior,8,0,10,17.0
597504,136645,prior,4,3,20,2.0
3258728,182689,prior,18,6,18,3.0
1713547,21237,prior,27,4,18,10.0
2066148,75995,prior,20,1,10,3.0
3124379,13467,prior,23,0,16,2.0
2018968,69843,prior,3,1,16,14.0
2557884,168552,prior,17,3,14,6.0
385444,58061,prior,65,2,8,8.0
1717049,63541,prior,1,3,11,
2698989,153997,prior,2,5,13,30.0
835540,97251,prior,13,5,10,4.0
1267988,48006,prior,13,1,15,3.0
479552,127059,prior,50,0,19,4.0
281658,139137,prior,22,6,14,8.0
2249615,70065,test,30,0,13,6.0
1535540,88954,prior,24,3,7,3.0
904299,99151,prior,8,2,13,30.0
926633,149840,prior,17,4,14,30.0
2767499,57868,prior,8,3,21,17.0
1291335,17996,prior,6,2,19,30.0
1660522,107895,prior,8,5,14,8.0
927085,24140,prior,17,5,22,3.0
1605305,162564,prior,9,0,17,15.0
1362576,151487,prior,27,5,8,4.0
466850,169047,prior,46,1,15,6.0
3419843,24860,prior,49,5,11,3.0
2521812,75864,prior,4,5,16,30.0
203500,50523,prior,3,5,12,0.0
708547,38635,prior,38,0,15,20.0
2604918,63599,prior,2,1,11,7.0
244693,107340,prior,5,0,11,7.0
810314,144276,prior,7,1,10,13.0
3116236,170189,prior,12,5,19,2.0
254187,136897,prior,8,0,12,13.0
497164,130662,prior,10,4,8,30.0
840387,79731,prior,5,5,8,27.0
1207214,49807,prior,1,0,17,
3389124,179667,prior,11,3,17,6.0
283998,99439,prior,18,4,12,3.0
593629,2866,prior,5,1,10,13.0
1632141,27977,prior,26,5,18,8.0
2427809,157507,prior,2,0,9,22.0
2691431,46219,prior,5,2,10,30.0
1322458,58379,prior,18,1,13,25.0
3080639,18113,prior,10,1,21,11.0
1636726,118648,prior,2,1,13,20.0
1258071,65519,prior,6,5,6,30.0
3363949,84237,prior,8,5,16,5.0
2738572,161567,prior,16,6,17,8.0
1353548,163281,prior,1,5,10,
242220,60604,prior,25,1,20,6.0
914487,62106,prior,11,4,14,9.0
711037,127748,train,13,5,16,30.0
324572,106865,prior,5,2,15,21.0
96797,166786,prior,85,4,16,1.0
1326696,95155,prior,10,1,12,6.0
1064170,34417,train,33,5,13,5.0
2641948,206109,prior,18,1,10,5.0
2103671,57364,prior,44,2,17,6.0
1175678,50708,prior,1,4,9,
3361745,9529,prior,11,0,17,30.0
2779045,104026,prior,4,6,22,6.0
2137388,22754,prior,6,1,10,4.0
75367,82106,prior,3,6,14,13.0
254631,127974,prior,11,4,15,12.0
733364,8927,prior,3,2,11,16.0
2215018,2865,prior,10,3,18,18.0
2448334,187364,prior,1,3,11,
1586699,196882,prior,8,4,19,28.0
2209336,204317,prior,11,6,8,22.0
2022902,74849,prior,16,0,11,5.0
1491310,22335,prior,2,3,15,6.0
3190583,108324,prior,21,5,14,7.0
2525472,9043,prior,5,1,8,8.0
3005444,109591,prior,1,2,11,
181519,20968,prior,2,3,20,5.0
2193547,105438,prior,13,4,14,30.0
2390928,23513,prior,18,0,15,21.0
2097761,40209,prior,29,6,7,10.0
733723,182273,prior,5,0,18,30.0
355503,6013,prior,13,1,10,2.0
2046363,168470,prior,1,0,16,
2215268,51631,prior,4,0,13,4.0
999950,112816,prior,47,1,14,5.0
845149,95599,test,6,3,10,9.0
3409769,115223,prior,6,1,17,30.0
3195974,128322,prior,1,3,17,
2975851,134757,prior,1,2,10,
1902120,5093,test,4,3,18,24.0
410203,57113,prior,25,2,11,5.0
530668,154455,prior,28,4,15,2.0
25909,131452,prior,14,1,14,10.0
682256,24565,prior,75,1,12,7.0
1958554,178652,prior,1,4,10,
2356804,117075,prior,19,4,22,3.0
3248997,183320,prior,15,6,13,5.0
2175304,128638,prior,5,4,8,3.0
1874593,199703,prior,3,6,12,5.0
659661,69410,prior,10,0,15,3.0
271819,27918,prior,3,2,15,6.0
1190966,21916,prior,35,5,19,2.0
683516,52440,prior,5,5,7,5.0
1242085,122059,prior,18,2,21,7.0
3118905,154634,prior,32,0,14,6.0
3187040,132531,test,4,5,15,30.0
2713835,189829,prior,28,2,16,7.0
873855,131852,prior,8,4,23,8.0
939112,17140,prior,7,1,18,20.0
2807761,117695,prior,22,3,10,17.0
2294361,64906,prior,9,0,12,4.0
3194702,132296,prior,6,1,8,30.0
2517927,174287,prior,8,4,18,4.0
1881167,133865,prior,40,2,13,2.0
2261559,165865,prior,10,4,17,3.0
911272,114961,prior,4,5,11,7.0
1846260,46905,prior,3,1,13,6.0
1737308,101772,prior,17,4,10,5.0
2241121,15463,prior,8,0,8,1.0
3211976,79797,prior,5,2,23,17.0
398772,96019,prior,29,3,11,8.0
1774345,152501,prior,13,6,10,22.0
1290994,137914,prior,12,4,15,23.0
3270604,187860,prior,9,6,12,30.0
2168529,20954,prior,9,0,14,19.0
2038580,192871,prior,14,0,15,8.0
203299,182091,prior,6,3,14,30.0
1803194,131762,prior,53,2,18,6.0
120931,106060,prior,3,5,12,7.0
3390540,127301,prior,8,2,20,30.0
1236226,178884,prior,26,3,9,9.0
2214253,3691,train,4,0,12,30.0
2619235,6707,prior,21,6,11,4.0
3149033,195560,prior,65,1,10,6.0
2033041,164634,prior,22,2,13,7.0
784336,56044,prior,2,0,10,30.0
1662644,201558,prior,15,0,14,6.0
1306385,149748,prior,3,2,18,9.0
2889020,165096,train,22,3,4,15.0
474871,123838,prior,33,1,14,10.0
2738165,51325,prior,28,0,13,0.0
387146,59796,prior,3,4,9,8.0
3225635,98306,prior,7,0,13,5.0
200332,98895,prior,34,2,12,3.0
1253533,63282,prior,12,0,14,7.0
536289,29265,prior,28,1,15,4.0
594118,105896,prior,17,2,21,4.0
2674847,187930,prior,68,4,7,11.0
2307574,6618,prior,14,2,7,12.0
2709280,15380,prior,2,4,15,6.0
